"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030199","collagen fibril organization","5/41","65/18870",2.82337204684949e-07,0.000109496703720832,8.94847533611467e-05,"1277/7837/11173/84171/1281",5
"GO:0030198","extracellular matrix organization","8/41","321/18870",3.76768629416447e-07,0.000109496703720832,8.94847533611467e-05,"6624/1277/7837/1284/11173/84171/1281/1282",8
"GO:0043062","extracellular structure organization","8/41","322/18870",3.85761826568285e-07,0.000109496703720832,8.94847533611467e-05,"6624/1277/7837/1284/11173/84171/1281/1282",8
"GO:0045229","external encapsulating structure organization","8/41","323/18870",3.9493851657649e-07,0.000109496703720832,8.94847533611467e-05,"6624/1277/7837/1284/11173/84171/1281/1282",8
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","3/41","10/18870",1.1304416420084e-06,0.000250731956197463,0.000204907421846154,"1277/1284/1282",3
"GO:0038065","collagen-activated signaling pathway","3/41","15/18870",4.25399899715327e-06,0.000770280781759,0.000629501925010203,"1277/1284/1282",3
"GO:0003012","muscle system process","8/41","452/18870",4.86200673788368e-06,0.000770280781759,0.000629501925010203,"384/85366/53632/4608/2660/2697/25802/89",8
"GO:0060348","bone development","6/41","215/18870",6.57654865097213e-06,0.000911674056741012,0.000745053735327238,"1277/11173/2697/1281/162466/89",6
"GO:0043931","ossification involved in bone maturation","3/41","26/18870",2.39080822910839e-05,0.00294600702897912,0.00240758583071617,"11173/162466/89",3
"GO:0070977","bone maturation","3/41","29/18870",3.34482300465413e-05,0.00370940871216144,0.00303146590211285,"11173/162466/89",3
"GO:0006941","striated muscle contraction","5/41","186/18870",4.95472113807637e-05,0.00458783104742784,0.00374934510164242,"384/85366/4608/2697/89",5
"GO:0048799","animal organ maturation","3/41","33/18870",4.96428968161714e-05,0.00458783104742784,0.00374934510164242,"11173/162466/89",3
"GO:0071711","basement membrane organization","3/41","36/18870",6.46718071307897e-05,0.0051235684373658,0.00418716949795639,"7837/1281/1282",3
"GO:0060349","bone morphogenesis","4/41","100/18870",6.46798540334727e-05,0.0051235684373658,0.00418716949795639,"1277/1281/162466/89",4
"GO:0006936","muscle contraction","6/41","351/18870",0.000102995356371681,0.00761479001441292,0.00622308784814155,"384/85366/4608/2697/25802/89",6
"GO:0090257","regulation of muscle system process","5/41","247/18870",0.000188212155724563,0.0126300742476539,0.0103217634922215,"85366/53632/4608/2660/89",5
"GO:0014889","muscle atrophy","2/41","10/18870",0.00020499669653541,0.0126300742476539,0.0103217634922215,"2660/89",2
"GO:0048630","skeletal muscle tissue growth","2/41","10/18870",0.00020499669653541,0.0126300742476539,0.0103217634922215,"2660/89",2
"GO:0060350","endochondral bone morphogenesis","3/41","61/18870",0.000313927577279285,0.0178010653637991,0.0145476885560543,"1277/1281/162466",3
"GO:0060537","muscle tissue development","6/41","433/18870",0.000321029131898992,0.0178010653637991,0.0145476885560543,"2065/85366/2660/2697/1281/89",6
"GO:0014874","response to stimulus involved in regulation of muscle adaptation","2/41","13/18870",0.000353862466532868,0.0186873083516643,0.0152719590819448,"53632/89",2
"GO:0035630","bone mineralization involved in bone maturation","2/41","14/18870",0.000412271486883678,0.0199401001961343,0.016295786881374,"162466/89",2
"GO:0071559","response to transforming growth factor beta","5/41","293/18870",0.000413545811101072,0.0199401001961343,0.016295786881374,"25878/1277/1284/2660/1281",5
"GO:1903826","L-arginine transmembrane transport","2/41","15/18870",0.00047504340809699,0.0219509641491484,0.0179391392268205,"55089/6541",2
"GO:0014823","response to activity","3/41","72/18870",0.000511670979248641,0.0226977246394697,0.0185494195003402,"53632/1284/2660",3
"GO:1990822","basic amino acid transmembrane transport","2/41","19/18870",0.000769394837002411,0.0328176490090644,0.0268197957351853,"55089/6541",2
"GO:0071230","cellular response to amino acid stimulus","3/41","85/18870",0.000830963614842969,0.0341310610689205,0.0278931646151968,"1277/1281/1282",3
"GO:0007517","muscle organ development","5/41","354/18870",0.000972001300579917,0.0384981943693974,0.0314621473608763,"2065/85366/2660/1281/89",5
"GO:0015802","basic amino acid transport","2/41","22/18870",0.00103507745754755,0.0395827896696632,0.0323485187277111,"55089/6541",2
"GO:0071229","cellular response to acid chemical","3/41","94/18870",0.00111256764220166,0.0411279171733881,0.0336112540328292,"1277/1281/1282",3
"GO:1901863","positive regulation of muscle tissue development","2/41","24/18870",0.00123331921223095,0.0441210002052944,0.0360573121131019,"2065/89",2
"GO:0043501","skeletal muscle adaptation","2/41","25/18870",0.0013387224992111,0.0463951016132846,0.0379157918362091,"2660/89",2
